Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,kjønn
Olivia's Deluxe Bedroom,Friends,163.0,14.99,60.0,100.0,Jente
The Big Race Day,Friends,648.0,59.99,144.0,252.0,Jente
Mia's Summer Heart Box,Friends,85.0,7.99,36.0,41.0,Jente
Emma's Play Cube - Photographer,Friends,36.0,9.99,5.0,31.0,Jente
Mia's Play Cube - Veterinarian,Friends,40.0,9.99,5.0,32.0,Jente
Service & Care Truck,Friends,247.0,19.99,84.0,123.0,Jente
Mia's Jungle Play Cube,Friends,43.0,9.99,5.0,36.0,Jente
Olivia's Jungle Play Cube,Friends,51.0,9.99,5.0,42.0,Jente
Heart Box Friendship Pack,Friends,199.0,19.99,60.0,90.0,Jente
Stephanie's Jungle Play Cube,Friends,41.0,9.99,5.0,38.0,Jente
Andrea's Jungle Play Cube,Friends,47.0,9.99,5.0,43.0,Jente
Olivia's Cupcake Cafe,Friends,335.0,29.99,100.0,185.0,Jente
Stephanie's Play Cube - Beauty Salon,Friends,44.0,9.99,5.0,35.0,Jente
Stephanie's House,Friends,170.0,39.99,92.0,116.0,Jente
Emma's Fashion Shop,Friends,343.0,29.99,112.0,152.0,Jente
Panda Jungle Tree House,Friends,265.0,29.99,120.0,149.0,Jente
Chocolate Box & Flower,Friends,75.0,4.99,3.0,32.0,Jente
Olivia's Play Cube - Researcher,Friends,40.0,9.99,5.0,34.0,Jente
Olivia's Remote Control Boat,Friends,25.0,3.99,3.0,23.0,Jente
Turtles Rescue Mission,Friends,225.0,19.99,72.0,125.0,Jente
Dolphins Rescue Mission,Friends,363.0,39.99,116.0,192.0,Jente
Olivia's Summer Heart Box,Friends,93.0,7.99,40.0,48.0,Jente
Emma's Heart Box,Friends,85.0,7.99,32.0,38.0,Jente
Nature Glamping,Friends,241.0,29.99,72.0,110.0,Jente
Andrea's Car & Stage,Friends,240.0,19.99,68.0,116.0,Jente
Andrea's Play Cube - Singer,Friends,49.0,9.99,5.0,32.0,Jente
Mia's Forest Adventures ,Friends,134.0,14.99,44.0,77.0,Jente
Olivia's Play Cube - Sweet Shop,Friends,47.0,9.99,5.0,40.0,Jente
Andrea's Play Cube - Pet Shop,Friends,40.0,9.99,5.0,33.0,Jente
Funny Octopus Ride,Friends,324.0,39.99,76.0,145.0,Jente
Olivia's Hamster Playground,Friends,81.0,9.99,40.0,52.0,Jente
Mia's Heart Box,Friends,83.0,7.99,32.0,38.0,Jente
Heartlake City Park Café,Friends,224.0,19.99,72.0,117.0,Jente
Mia's Organic Food Market,Friends,115.0,19.99,56.0,70.0,Jente
Stephanie's Play Cube - Baker,Friends,44.0,9.99,5.0,37.0,Jente
Emma's Mobile Veterinary Clinic ,Friends,50.0,9.99,28.0,35.0,Jente
Ice Cream Cart,Friends,97.0,9.99,40.0,60.0,Jente
Puppy Playground,Friends,57.0,9.99,40.0,41.0,Jente
Heartlake City Hair Salon,Friends,235.0,19.99,84.0,138.0,Jente
Olivia's Flower Garden,Friends,92.0,9.99,48.0,61.0,Jente
Juice Truck,Friends,103.0,19.99,52.0,75.0,Jente
Emma's Pet Party,Friends,67.0,9.99,36.0,50.0,Jente
Underwater Loop,Friends,389.0,29.99,76.0,165.0,Jente
Baby Elephant Jungle Rescue,Friends,203.0,19.99,68.0,111.0,Jente
Stephanie's Buggy & Trailer ,Friends,166.0,19.99,48.0,97.0,Jente
Stephanie's Bedroom,Friends,95.0,9.99,44.0,72.0,Jente
Baking Competition,Friends,361.0,39.99,104.0,157.0,Jente
Heartlake City Supermarket,Friends,140.0,29.99,68.0,90.0,Jente
Andrea's Bedroom,Friends,85.0,9.99,44.0,60.0,Jente
Mia's Horse Trailer,Friends,216.0,29.99,76.0,119.0,Jente
Mia's Bedroom,Friends,86.0,9.99,48.0,63.0,Jente
Friends Advent Calendar,Friends,330.0,29.99,2.0,158.0,Jente
Andrea's Heart Box,Friends,84.0,7.99,32.0,38.0,Jente
Friends Advent Calendar,Friends,500.0,29.99,4.0,202.0,Jente
Stephanie's Obstacle Course,Friends,337.0,39.99,100.0,168.0,Jente
Hogwarts Great Hall,Harry Potter,878.0,99.99,184.0,284.0,ANøytral
Hogwarts Astronomy Tower,Harry Potter,971.0,99.99,172.0,310.0,ANøytral
Aragog's Lair,Harry Potter,157.0,14.99,56.0,82.0,ANøytral
Hagrid's Hut: Buckbeak's Rescue,Harry Potter,496.0,59.99,120.0,208.0,ANøytral
4 Privet Drive,Harry Potter,797.0,69.99,184.0,255.0,ANøytral
Hedwig,Harry Potter,630.0,39.99,148.0,166.0,ANøytral
Forbidden Forest: Umbridge's Encounter,Harry Potter,253.0,29.99,84.0,121.0,ANøytral
Hogwarts Room of Requirement,Harry Potter,193.0,19.99,60.0,90.0,ANøytral
Quidditch Match,Harry Potter,500.0,39.99,112.0,205.0,ANøytral
Harry Potter Advent Calendar,Harry Potter,305.0,39.99,3.0,151.0,ANøytral
Beauxbatons' Carriage: Arrival at Hogwarts ,Harry Potter,430.0,49.99,84.0,160.0,ANøytral
Diagon Alley,Harry Potter,374.0,19.99,72.0,116.0,ANøytral
Attack on The Burrow,Harry Potter,1047.0,99.99,180.0,383.0,ANøytral
Hogwarts Whomping Willow,Harry Potter,753.0,69.99,148.0,253.0,ANøytral
Hogwarts Clock Tower,Harry Potter,922.0,89.99,176.0,276.0,ANøytral
Hogwarts Castle,Harry Potter,6020.0,399.99,636.0,624.0,ANøytral
Hogwarts Express,Harry Potter,801.0,79.99,124.0,261.0,ANøytral
The Rise of Voldemort,Harry Potter,184.0,19.99,56.0,102.0,ANøytral
Hogwarts Students Accessory Set,Harry Potter,53.0,14.99,9.0,33.0,ANøytral
Expecto Patronum,Harry Potter,121.0,19.99,48.0,55.0,ANøytral
The Knight Bus,Harry Potter,403.0,39.99,84.0,128.0,ANøytral
Hungarian Horntail Triwizard Challenge,Harry Potter,265.0,29.99,52.0,101.0,ANøytral
Newbury Subway,Hidden Side,348.0,29.99,108.0,146.0,ANøytral
El Fuego's Stunt Plane,Hidden Side,295.0,29.99,92.0,149.0,ANøytral
Paranormal Intercept Bus 3000,Hidden Side,689.0,59.99,136.0,272.0,ANøytral
J.B.'s Submarine,Hidden Side,224.0,19.99,64.0,120.0,ANøytral
Mystery Castle,Hidden Side,1035.0,99.99,296.0,335.0,ANøytral
J.B.'s Ghost Lab,Hidden Side,174.0,19.99,64.0,104.0,ANøytral
Ghost Train Express,Hidden Side,698.0,79.99,136.0,268.0,ANøytral
Welcome to the Hidden Side,Hidden Side,189.0,19.99,68.0,103.0,ANøytral
Graveyard Mystery,Hidden Side,335.0,29.99,112.0,160.0,ANøytral
El Fuego's Stunt Truck,Hidden Side,428.0,39.99,156.0,198.0,ANøytral
Newbury Haunted High School,Hidden Side,1474.0,129.99,308.0,482.0,ANøytral
Phantom Fire Truck 3000,Hidden Side,760.0,59.99,148.0,263.0,ANøytral
Newbury Abandoned Prison,Hidden Side,400.0,39.99,132.0,164.0,ANøytral
Haunted Fairground,Hidden Side,466.0,49.99,124.0,212.0,ANøytral
Supernatural Race Car,Hidden Side,244.0,29.99,80.0,115.0,ANøytral
Jack's Beach Buggy,Hidden Side,170.0,19.99,56.0,98.0,ANøytral
Wrecked Shrimp Boat,Hidden Side,310.0,29.99,108.0,150.0,ANøytral
The Lighthouse of Darkness,Hidden Side,540.0,49.99,156.0,240.0,ANøytral
Shrimp Shack Attack,Hidden Side,578.0,49.99,128.0,293.0,ANøytral
Ship in a Bottle,Ideas,962.0,69.99,156.0,124.0,ANøytral
International Space Station,Ideas,864.0,69.99,128.0,186.0,ANøytral
The Flintstones,Ideas,748.0,59.99,180.0,242.0,ANøytral
Dinosaur Fossils,Ideas,910.0,59.99,169.0,201.0,ANøytral
Pirates of Barracuda Bay,Ideas,2545.0,199.99,460.0,575.0,ANøytral
Grand Piano,Ideas,3662.0,349.99,564.0,345.0,ANøytral
Voltron,Ideas,2321.0,179.99,92.0,471.0,ANøytral
Pop-Up Book,Ideas,859.0,69.99,164.0,211.0,ANøytral
Steamboat Willie,Ideas,751.0,89.99,176.0,202.0,ANøytral
Central Perk,Ideas,1070.0,59.99,156.0,366.0,ANøytral
TRON: Legacy,Ideas,230.0,34.99,68.0,73.0,ANøytral
Tree House,Ideas,3036.0,199.99,428.0,482.0,ANøytral
Zane's Ninja Boat Pursuit,Juniors,131.0,19.99,64.0,78.0,ANøytral
Underminer's Bank Heist,Juniors,149.0,24.99,64.0,99.0,ANøytral
Road Repair Truck,Juniors,73.0,9.99,32.0,50.0,ANøytral
Elastigirl's Rooftop Pursuit,Juniors,95.0,19.99,64.0,77.0,ANøytral
Ariel's Underwater Concert,Juniors,92.0,14.99,40.0,55.0,ANøytral
The Great Home Escape,Juniors,178.0,29.99,76.0,123.0,ANøytral
Pteranodon Escape,Juniors,84.0,19.99,56.0,60.0,ANøytral
Raptor Rescue Truck,Juniors,85.0,24.99,56.0,56.0,ANøytral
Mountain Police Chase,Juniors,115.0,19.99,64.0,85.0,ANøytral
City Central Airport,Juniors,376.0,49.99,144.0,170.0,ANøytral
T. Rex Breakout,Juniors,150.0,49.99,76.0,98.0,ANøytral
Belle's Story Time,Juniors,87.0,14.99,44.0,66.0,ANøytral
Stygimoloch Breakout,Jurassic World,222.0,29.99,84.0,91.0,Gutt
Baby Velociraptor Playpen,Jurassic World,48.0,3.99,3.0,25.0,Gutt
T. Rex Transport,Jurassic World,609.0,69.99,156.0,174.0,Gutt
Carnotaurus Gyrosphere Escape,Jurassic World,577.0,79.99,140.0,226.0,Gutt
Blue's Helicopter Pursuit,Jurassic World,397.0,39.99,112.0,177.0,Gutt
Gallimimus and Pteranodon Breakout,Jurassic World,391.0,49.99,112.0,170.0,Gutt
T. rex vs Dino-Mech Battle,Jurassic World,716.0,89.99,176.0,254.0,Gutt
Dilophosaurus Outpost Attack,Jurassic World,289.0,39.99,72.0,124.0,Gutt
Pteranodon Chase,Jurassic World,126.0,19.99,44.0,68.0,Gutt
Indoraptor Rampage at Lockwood Estate,Jurassic World,1019.0,129.99,176.0,257.0,Gutt
Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World,164.0,19.99,64.0,100.0,Gutt
Gentle Giants Petting Zoo,Jurassic World,24.0,19.99,13.0,19.0,Gutt
Jurassic Park Velociraptor Chase ,Jurassic World,360.0,39.99,132.0,195.0,Gutt
Baryonyx Face-Off: The Treasure Hunt,Jurassic World,434.0,59.99,96.0,211.0,Gutt
Velociraptor: Biplane Rescue Mission,Jurassic World,101.0,29.99,76.0,72.0,Gutt
Jurassic Park: T. rex Rampage,Jurassic World,3120.0,249.99,464.0,525.0,Gutt
Indominus rex vs. Ankylosaurus,Jurassic World,537.0,99.99,112.0,216.0,Gutt
Triceratops Rampage,Jurassic World,447.0,59.99,112.0,200.0,Gutt
T. rex Tower,Jurassic World,22.0,29.99,14.0,18.0,Gutt
Dilophosaurus on the Loose,Jurassic World,168.0,19.99,60.0,88.0,Gutt
Anna's Canoe Expedition,LEGO Frozen 2,108.0,19.99,64.0,61.0,Jente
Olaf,LEGO Frozen 2,122.0,14.99,52.0,61.0,Jente
Anna and Elsa's Storybook Adventures,LEGO Frozen 2,133.0,19.99,3.0,71.0,Jente
Elsa and the Reindeer Carriage,LEGO Frozen 2,116.0,29.99,72.0,78.0,Jente
Arendelle Castle,LEGO Frozen 2,521.0,79.99,192.0,231.0,Jente
Elsa's Ice Palace,LEGO Frozen 2,701.0,79.99,180.0,234.0,Jente
Enchanted Tree House,LEGO Frozen 2,302.0,49.99,120.0,174.0,Jente
Elsa's Jewellery Box,LEGO Frozen 2,300.0,39.99,96.0,89.0,Jente
Avengers Helicarrier,Marvel,1244.0,119.99,220.0,355.0,Gutt
Rhino Face-Off by the Mine,Marvel,229.0,19.99,88.0,100.0,Gutt
Iron Man,Marvel,480.0,59.99,132.0,123.0,Gutt
Avengers Truck Take-down,Marvel,477.0,39.99,116.0,164.0,Gutt
Spider-Man Car Chase,Marvel,52.0,9.99,36.0,38.0,Gutt
Spider-Man: Doc Ock Diamond Heist,Marvel,150.0,29.99,96.0,98.0,Gutt
Captain Marvel and The Skrull Attack,Marvel,307.0,29.99,80.0,126.0,Gutt
Thanos: Ultimate Battle,Marvel,674.0,69.99,116.0,190.0,Gutt
Venom Crawler,Marvel,413.0,29.99,80.0,132.0,Gutt
Black Widow's Helicopter Chase,Marvel,271.0,29.99,80.0,125.0,Gutt
Mighty Micros: Star-Lord vs. Nebula,Marvel,86.0,9.99,7.0,45.0,Gutt
Royal Talon Fighter Attack,Marvel,358.0,29.99,100.0,119.0,Gutt
Avengers Compound Battle,Marvel,699.0,99.99,168.0,292.0,Gutt
Venomosaurus Ambush,Marvel,640.0,79.99,148.0,242.0,Gutt
Spider-Man vs. Doc Ock,Marvel,234.0,19.99,72.0,80.0,Gutt
Iron Man Armory,Marvel,258.0,29.99,68.0,110.0,Gutt
Quantum Realm Explorers,Marvel,200.0,19.99,64.0,100.0,Gutt
Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89.0,9.99,7.0,49.0,Gutt
Outrider Dropship Attack,Marvel,124.0,14.99,52.0,63.0,Gutt
Avengers Ultimate Quinjet,Marvel,840.0,79.99,160.0,252.0,Gutt
Iron Man Hulkbuster versus A.I.M. Agent,Marvel,456.0,39.99,80.0,143.0,Gutt
Avengers Tower Battle,Marvel,685.0,89.99,136.0,250.0,Gutt
Spider-Man Bike Rescue,Marvel,235.0,19.99,92.0,98.0,Gutt
Thor's Weapon Quest,Marvel,223.0,19.99,84.0,112.0,Gutt
Hydro-Man Attack,Marvel,471.0,39.99,96.0,170.0,Gutt
The Guardians' Ship,Marvel,69.0,3.99,3.0,36.0,Gutt
Spider-Man vs. Electro,Marvel,29.0,19.99,10.0,22.0,Gutt
Spider-Man vs. Scorpion Street Showdown,Marvel,125.0,19.99,64.0,82.0,Gutt
Spider-Man and the Museum Break-In,Marvel,49.0,14.99,3.0,33.0,Gutt
Mighty Micros: Thor vs. Loki,Marvel,79.0,9.99,7.0,47.0,Gutt
Royal Talon Fighter,Marvel,59.0,3.99,3.0,25.0,Gutt
Spider-Man Mech,Marvel,152.0,9.99,68.0,62.0,Gutt
Iron Man Hall of Armour,Marvel,524.0,59.99,104.0,156.0,Gutt
Falcon & Black Widow Team-Up,Marvel,60.0,14.99,3.0,34.0,Gutt
War Machine Buster,Marvel,362.0,34.99,64.0,122.0,Gutt
Captain America: Outriders Attack,Marvel,167.0,19.99,52.0,75.0,Gutt
Spider-Man's Spider Crawler ,Marvel,418.0,39.99,84.0,132.0,Gutt
Vulture's Trucker Robbery,Marvel,93.0,19.99,48.0,62.0,Gutt
Avengers Wrath of Loki,Marvel,223.0,59.99,124.0,137.0,Gutt
Iron Man Mech,Marvel,148.0,9.99,64.0,61.0,Gutt
Sanctum Sanctorum Showdown,Marvel,1004.0,99.99,220.0,312.0,Gutt
The Hulkbuster Smash-Up,Marvel,375.0,29.99,84.0,143.0,Gutt
Spider Mech vs. Venom ,Marvel,604.0,49.99,104.0,203.0,Gutt
Spiderjet vs. Venom Mech,Marvel,371.0,29.99,84.0,136.0,Gutt
Avengers Speeder Bike Attack,Marvel,226.0,19.99,104.0,97.0,Gutt
Corvus Glaive Thresher Attack,Marvel,416.0,39.99,124.0,168.0,Gutt
Avengers Hulk Helicopter Rescue,Marvel,482.0,59.99,100.0,187.0,Gutt
Thanos Mech,Marvel,152.0,9.99,56.0,62.0,Gutt
The Hulkbuster: Ultron Edition,Marvel,1363.0,119.99,184.0,268.0,Gutt
The Menace of Mysterio,Marvel,163.0,29.99,128.0,97.0,Gutt
BigFig Pig with Baby Zombie,Minecraft,159.0,14.99,40.0,47.0,ANøytral
The Blaze Bridge,Minecraft,372.0,29.99,108.0,127.0,ANøytral
The End Battle,Minecraft,222.0,19.99,72.0,91.0,ANøytral
The Nether Portal,Minecraft,470.0,39.99,112.0,146.0,ANøytral
The Wool Farm,Minecraft,260.0,19.99,80.0,81.0,ANøytral
The Crafting Box 3.0,Minecraft,564.0,69.99,180.0,128.0,ANøytral
The Redstone Battle,Minecraft,504.0,39.99,88.0,133.0,ANøytral
The Farm Cottage ,Minecraft,549.0,49.99,116.0,157.0,ANøytral
BigFig Creeper and Ocelot,Minecraft,184.0,14.99,48.0,65.0,ANøytral
Pirate Ship,Minecraft,386.0,39.99,116.0,143.0,ANøytral
The Illager Raid,Minecraft,562.0,59.99,96.0,187.0,ANøytral
The Pillager Outpost,Minecraft,303.0,29.99,68.0,94.0,ANøytral
The Taiga Adventure,Minecraft,74.0,9.99,40.0,48.0,ANøytral
The Melon Farm,Minecraft,69.0,14.99,44.0,47.0,ANøytral
Minecraft Skeleton BigFig with Magma Cube,Minecraft,142.0,14.99,40.0,56.0,ANøytral
The Zombie Cave,Minecraft,241.0,19.99,84.0,88.0,ANøytral
The Skeleton Attack,Minecraft,457.0,39.99,100.0,136.0,ANøytral
The Nether Fight,Minecraft,84.0,14.99,40.0,48.0,ANøytral
The Panda Nursery,Minecraft,204.0,19.99,48.0,76.0,ANøytral
The Polar Igloo,Minecraft,278.0,29.99,84.0,95.0,ANøytral
The Skull Arena,Minecraft,198.0,19.99,68.0,68.0,ANøytral
Minecraft Alex BigFig with Chicken,Minecraft,160.0,14.99,40.0,70.0,ANøytral
The Bedrock Adventures,Minecraft,644.0,89.99,108.0,168.0,ANøytral
The Chicken Coop,Minecraft,198.0,19.99,72.0,90.0,ANøytral
The Creeper Mine,Minecraft,834.0,79.99,164.0,206.0,ANøytral
Minecraft Steve BigFig with Parrot,Minecraft,159.0,14.99,40.0,74.0,ANøytral
Summer Celebration Minifigure Pack,Minifigures,45.0,12.99,3.0,35.0,ANøytral
Police MF Accessory Set,Minifigures,42.0,12.99,3.0,33.0,ANøytral
Fairground Accessory Set,Minifigures,51.0,12.99,3.0,35.0,ANøytral
Brick-built Minions and their Lair,Minions,876.0,49.99,184.0,180.0,ANøytral
Unstoppable Bike Chase,Minions,136.0,19.99,60.0,79.0,ANøytral
Monkie Kid's Team Secret HQ,Monkie Kid,1105.0,169.99,556.0,622.0,Gutt
Demon Bull King,Monkie Kid,585.0,89.99,200.0,264.0,Gutt
Monkie Kid's Cloud Jet,Monkie Kid,390.0,59.99,168.0,199.0,Gutt
Iron Bull Tank,Monkie Kid,430.0,49.99,124.0,160.0,Gutt
Red Son's Inferno Truck,Monkie Kid,1111.0,119.99,244.0,350.0,Gutt
White Dragon Horse Bike,Monkie Kid,259.0,34.99,96.0,134.0,Gutt
Monkey King Warrior Mech,Monkie Kid,975.0,149.99,272.0,435.0,Gutt
Monkie Kid's Delivery Bike,Monkie Kid,22.0,4.99,3.0,18.0,Gutt
Pigsy's Food Truck,Monkie Kid,455.0,69.99,212.0,299.0,Gutt
Ninja Nightcrawler,NINJAGO,552.0,39.99,124.0,205.0,Gutt
Stormbringer,NINJAGO,493.0,39.99,108.0,182.0,Gutt
Wu's Battle Dragon,NINJAGO,321.0,19.99,68.0,109.0,Gutt
Fire Stone Mech,NINJAGO,968.0,69.99,136.0,260.0,Gutt
Land Bounty,NINJAGO,1178.0,129.99,252.0,400.0,Gutt
Dragon Pit,NINJAGO,1660.0,129.99,244.0,424.0,Gutt
Firstbourne,NINJAGO,882.0,69.99,172.0,337.0,Gutt
NINJAGO City Docks,NINJAGO,3553.0,229.99,380.0,690.0,Gutt
Castle of the Forsaken Emperor,NINJAGO,1218.0,99.99,248.0,361.0,Gutt
Storm Fighter Battle,NINJAGO,165.0,29.99,100.0,96.0,Gutt
Kai Avatar - Arcade Pod,NINJAGO,49.0,9.99,3.0,31.0,Gutt
Killow vs. Samurai X,NINJAGO,556.0,49.99,128.0,220.0,Gutt
Golden Zane Accessory Set ,NINJAGO,73.0,12.99,5.0,31.0,Gutt
Oni Titan,NINJAGO,522.0,49.99,96.0,183.0,Gutt
Spinjitzu Burst Lloyd,NINJAGO,48.0,9.99,3.0,30.0,Gutt
Spinjitzu Burst - Cole,NINJAGO,48.0,9.99,3.0,31.0,Gutt
Jay Avatar - Arcade Pod,NINJAGO,47.0,9.99,3.0,28.0,Gutt
Kai Fighter,NINJAGO,513.0,39.99,132.0,174.0,Gutt
Jungle Raider,NINJAGO,127.0,9.99,60.0,61.0,Gutt
Cole's Earth Driller ,NINJAGO,587.0,49.99,132.0,216.0,Gutt
Journey to the Skull Dungeons,NINJAGO,401.0,29.99,92.0,164.0,Gutt
Temple of Resurrection,NINJAGO,765.0,69.99,144.0,297.0,Gutt
Ninjago Minifigure Pack,NINJAGO,59.0,12.99,3.0,33.0,Gutt
Cole's Speeder Car,NINJAGO,52.0,9.99,36.0,32.0,Gutt
Lloyd Avatar - Arcade Pod,NINJAGO,48.0,9.99,3.0,28.0,Gutt
Dieselnaut,NINJAGO,1179.0,109.99,156.0,308.0,Gutt
Skull Sorcerer's Dragon,NINJAGO,1016.0,79.99,200.0,303.0,Gutt
Monastery Training,NINJAGO,122.0,9.99,40.0,65.0,Gutt
Spinjitzu Kai,NINJAGO,97.0,9.99,32.0,23.0,Gutt
Kai's Mech Jet,NINJAGO,217.0,19.99,116.0,94.0,Gutt
Spinjitzu Lloyd vs. Garmadon,NINJAGO,208.0,19.99,52.0,44.0,Gutt
Ninja Tuner Car,NINJAGO,419.0,39.99,108.0,143.0,Gutt
The Golden Dragon,NINJAGO,171.0,19.99,60.0,74.0,Gutt
Fire Fang,NINJAGO,463.0,39.99,88.0,175.0,Gutt
Spinjitzu Slam - Kai vs. Samurai,NINJAGO,164.0,19.99,76.0,67.0,Gutt
Spinjitzu Slam - Lloyd,NINJAGO,70.0,9.99,44.0,34.0,Gutt
Jay's Storm Fighter,NINJAGO,490.0,39.99,140.0,195.0,Gutt
Kai's Blade Cycle & Zane's Snowmobile,NINJAGO,376.0,29.99,128.0,189.0,Gutt
Empire Dragon,NINJAGO,286.0,29.99,80.0,118.0,Gutt
Kai's Fire Dragon,NINJAGO,81.0,19.99,60.0,48.0,Gutt
Street Race of Snake Jaguar,NINJAGO,308.0,29.99,112.0,130.0,Gutt
Throne Room Showdown,NINJAGO,221.0,19.99,68.0,111.0,Gutt
Jay - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,Gutt
Cole's Dirt Bike,NINJAGO,212.0,19.99,56.0,97.0,Gutt
Gamer's Market,NINJAGO,218.0,29.99,64.0,133.0,Gutt
Nya - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,43.0,Gutt
Spinjitzu Zane,NINJAGO,109.0,9.99,32.0,21.0,Gutt
Jay and Lloyd's Velocity Racers,NINJAGO,322.0,29.99,148.0,142.0,Gutt
Katana V11,NINJAGO,257.0,19.99,84.0,111.0,Gutt
Golden Mech,NINJAGO,489.0,39.99,108.0,172.0,Gutt
Shuricopter,NINJAGO,361.0,29.99,100.0,163.0,Gutt
Destiny's Bounty,NINJAGO,1781.0,129.99,316.0,479.0,Gutt
Cole - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,Gutt
The Samurai Mech,NINJAGO,154.0,14.99,48.0,71.0,Gutt
Spinjitzu Cole,NINJAGO,117.0,9.99,32.0,26.0,Gutt
Jay - Spinjitzu Master,NINJAGO,68.0,9.99,32.0,39.0,Gutt
Destiny's Wing,NINJAGO,181.0,19.99,76.0,100.0,Gutt
Spinjitzu Slam - Jay,NINJAGO,72.0,9.99,44.0,37.0,Gutt
Zane's Mino Creature,NINJAGO,616.0,49.99,172.0,202.0,Gutt
Lloyd's Journey,NINJAGO,81.0,14.99,36.0,50.0,Gutt
Skull Sorcerer's Dungeons,NINJAGO,1171.0,99.99,256.0,425.0,Gutt
Jay's Cyber Dragon,NINJAGO,518.0,49.99,84.0,189.0,Gutt
Empire Temple of Madness,NINJAGO,810.0,79.99,160.0,267.0,Gutt
Thunder Raider,NINJAGO,576.0,49.99,148.0,191.0,Gutt
Zane - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,38.0,Gutt
Cole - Spinjitzu Master,NINJAGO,73.0,9.99,32.0,40.0,Gutt
Spinjitzu Nya & Wu,NINJAGO,227.0,19.99,56.0,49.0,Gutt
Katana 4X4,NINJAGO,450.0,49.99,128.0,185.0,Gutt
Spinjitzu Jay,NINJAGO,97.0,9.99,32.0,23.0,Gutt
Golden Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,Gutt
S.O.G. Headquarters,NINJAGO,530.0,39.99,96.0,246.0,Gutt
Spinjitzu Slam - Zane,NINJAGO,63.0,9.99,40.0,37.0,Gutt
Monastery of Spinjitzu,NINJAGO,1070.0,79.99,188.0,359.0,Gutt
Lloyd's Titan Mech,NINJAGO,876.0,79.99,164.0,230.0,Gutt
Kai - Spinjitzu Master,NINJAGO,61.0,9.99,32.0,33.0,Gutt
Kai - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,Gutt
The Ultra Dragon,NINJAGO,951.0,84.99,160.0,262.0,Gutt
Zane - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,Gutt
Junkrat & Roadhog,Overwatch,380.0,49.99,92.0,168.0,Gutt
Dorado Showdown,Overwatch,419.0,29.99,124.0,168.0,Gutt
Bastion,Overwatch,602.0,49.99,116.0,168.0,Gutt
Tracer vs. Widowmaker,Overwatch,129.0,14.99,48.0,74.0,Gutt
Watchpoint: Gibraltar,Overwatch,730.0,89.99,192.0,287.0,Gutt
Wrecking Ball,Overwatch,227.0,19.99,84.0,78.0,Gutt
D.Va & Reinhardt,Overwatch,455.0,39.99,108.0,161.0,Gutt
Hanzo vs. Genji,Overwatch,197.0,19.99,60.0,84.0,Gutt
Disney Train and Station,Powered UP,2925.0,329.99,397.0,509.0,ANøytral
App-Controlled Top Gear Rally Car,Powered UP,463.0,129.99,120.0,93.0,ANøytral
Liebherr R 9800,Powered UP,4108.0,449.99,740.0,221.0,ANøytral
4x4 X-Treme Off-Roader,Powered UP,958.0,249.99,224.0,131.0,ANøytral
Mojo Jojo Strikes,Powerpuff Girls,228.0,29.99,76.0,149.0,ANøytral
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,92.0,ANøytral
Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565.0,29.99,128.0,186.0,Gutt
Nissan GT-R NISMO,Speed Champions,298.0,19.99,80.0,101.0,Gutt
Ferrari 488 GT3 Scuderia Corsa,Speed Champions,179.0,14.99,56.0,78.0,Gutt
1974 Porsche 911 Turbo 3.0,Speed Champions,180.0,14.99,80.0,75.0,Gutt
Ferrari F8 Tributo,Speed Champions,275.0,19.99,72.0,92.0,Gutt
1985 Audi Sport Quattro S1,Speed Champions,250.0,19.99,76.0,102.0,Gutt
Ferrari Ultimate Garage,Speed Champions,841.0,99.99,200.0,309.0,Gutt
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,Speed Champions,481.0,49.99,64.0,187.0,Gutt
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478.0,29.99,124.0,159.0,Gutt
Lamborghini Urus ST-X & Huracán Super Trofeo EVO ,Speed Champions,663.0,49.99,144.0,202.0,Gutt
Porsche 911 RSR and 911 Turbo 3.0,Speed Champions,391.0,29.99,120.0,166.0,Gutt
1968 Ford Mustang Fastback,Speed Champions,183.0,14.99,60.0,74.0,Gutt
Ford Fiesta M-Sport WRC,Speed Champions,203.0,14.99,60.0,88.0,Gutt
Chevrolet Camaro ZL1 Race Car,Speed Champions,198.0,14.99,60.0,81.0,Gutt
Porsche 919 Hybrid,Speed Champions,163.0,14.99,60.0,75.0,Gutt
McLaren Senna,Speed Champions,219.0,14.99,64.0,92.0,Gutt
Ferrari F40 Competizione,Speed Champions,198.0,14.99,56.0,72.0,Gutt
Molten Man Battle,Spider-Man,294.0,29.99,76.0,117.0,Gutt
